# bullet
CUBE (0.0,1.6,0.0)	(1.5,1.5,1.5)  (0.0,0.0,0.0) 2.0 0.4 0.5

# static wall
CUBE	(-1.1,1.1,-5.0)  (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(0.0,1.1,-5.0)	 (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(1.1,1.1,-5.0)   (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(-1.1,0.0,-5.0)  (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(0.0,0.0,-5.0)   (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(1.1,0.0,-5.0)   (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(-1.1,-1.1,-5.0) (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(0.0,-1.1,-5.0)  (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5
CUBE	(1.1,-1.1,-5.0)  (1.0,1.0,1.0) (0.0,0.0,0.0) 0.0 0.2 0.5

# floor
CUBE	(0.0,-2.2,-1.0)	(10.0,1.0,10.0) (0.0,0.0,0.0) 0.0 1.0 1.0

CAMERA (0.0,0.0,5.0) (0.0,0.0,-1.0) (0.0,1.0,0.0)

PHYSICS (0.0,-3.0,0.0)
